title,company,location,salary,description,url
Data Engineer,Catalyte,"Baltimore, MD","$120,000 - $140,000 a year","Sr. Data Engineer

Position will be remote with occasional travel post-COVID

Are you a Data Engineering enthusiast with a wide variety of experience across the data lifecycle and with multiple technology stacks? Do you love to organize data and figure out all of the ways it can be used? Do you enjoy mentoring junior and future engineers? We are looking for an innovative Senior Data Engineer to help us build the future. If you want to put your skills to use to help find and create future developers, come talk to us! You will be working with a variety of technologies and helping to design and build applications and tools with a data and analytics-driven focus.

Responsibilities:

· Building data ingestion pipelines to ensure timely and quality data into our Data Lake

· Building and maintaining a dashboard solution and dashboards to enable self-serve business analysis

· Building tools and APIs to enhance Data Lake security with an eye to continuing our policy of keeping personal data completely secure using the most up-to-date guidelines

· Collaborating with our Data Science team on data and metrics

· Working with and evaluating existing data-centric applications and tools

· Automating data pipelines and ensuring that a robust CI/CD process is in place

· Working on Agile application teams to build high quality and modular back-end data structures

· Mentoring more junior developers to allow them to grow their data career

· Working with stakeholders to help ensure that business needs are met

Qualifications:

· At least 5 years working in a Data Developer, Engineer or Architect role with a broad focus on data movement, querying (SQL), analytics, storage and processing

· At least 3 years experience with Python

· Excellent skills in both RDBMS (SQL Server, PostgreSQL) and NoSQL technologies

· Exposure to data security regulation and enforcement - GDPR, HIPAA, etc

· Cloud experience is desired - AWS preferred

· Experience building pipelines in a modular, scalable way

· Strong analytical skills

· Curiosity about data and the ideal way to structure it to extract meaning from it

· A “can do” attitude and a passion for innovation

Position will be remote with occasional travel post-COVID

Job Type: Full-time

Pay: $120,000.00 - $140,000.00 per year

Benefits:

401(k)
Dental insurance
Flexible spending account
Health insurance
Paid time off
Professional development assistance
Vision insurance
Schedule:

Monday to Friday",https://www.indeed.com/viewjob?cmp=Catalyte&t=Data+Engineer&jk=12d8e674ad46ea68&q=data+engineer&vjs=3
Data Engineer,"FYI-For Your Information, Inc.","Washington, DC 20036","$135,000 - $145,000 a year","FYI – For Your Information, Inc.is one of the fastest growing and most successful woman-owned Federal contractors in the country. We have won awards for being a Great Place to Work and continue to make ground-breaking advancements. We focus on career development and promotion – people are the core of everything we do. If you are looking for a career and not just a job, you're in the right place!

FYI – For Your Information, Inc., is a Woman-Owned Small Business GSA schedule vendor that is a premier provider of Human Capital, Training, and Information Technology services.

FYIattributes this capacity to deliver quality services to many factors, including FYI's in-house recruiters, senior HR professionals, corporate administrative staff, and agile, committed management resources. FYI'sfocus on the national, regional and local requirements of its customers, and a corporate organizational structure with sufficient depth of skills and authority to deploy and manage scalable teams, allows FYIto be responsive to the real-time needs of our Federal clients.

FYI'sBenefits/Incentives: What is in it for you?

Opportunity to work remotely (per contract requirements).
A knowledgeable, high-achieving, experienced, and fun team.
A diverse work atmosphere.
The chance to be part of a rapidly growing company and the next success story.
Team building and innovation.
A competitive base salary with a loaded benefits package plus 401K.
Personal computer device allowance.
Pet Insurance.


Summary of Position:

The Senior Data Engineer will support our software developers, database architects, data analysts and data scientists. They will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products.

Responsibilities:

They will work with analytical teams to gather technical requirements for both capabilities and tools, as well as, accessing and prioritizing ingest of data assets. They will work with the infrastructure and enterprise architect teams to develop and build out the enterprise platform. The will advise the CDO on technical solutions and tradeoffs, liaise with the Enterprise Architecture to ensure standards are met, and work closely with the Security and Policy teams to ensure the organization is in compliance with their policies. In addition, they will work closely with the modernization product leads to ensure the data needs for the analytical teams is built into the modernized application.

In addition, they will help establish and implement metadata strategy aligned with EA strategy to ensure clear visibility into mapping of data assets to applications, and understanding of impact of changes to data models

Duties:

Oversee the buildout of the enterprise Data Warehouse/API strategy
Work with the analytics teams to prioritize data assets
Manage contractors and oversee solution delivery
Optimizing data ingest and ETL processes to ensure our products have maximum performance
Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Navigate conflicting priorities and provide recommendations to the CDO when necessary
Experience building and optimizing 'big data' data pipelines, architectures and data sets.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
Work with the Enterprise Architect to establish modeling standards, data quality standards, data integration patterns or transactional and analytical systems.
Prepare polished technical and non-technical status reports and presentations for senior management.
Minimum Qualifications:

12+ years of experience in data management or data architecture
Experience managing vendors/contractors
Experience with feature/product ownership
Experience with Agile Scrum methodology
Experience writing clear and effective proposals, policies, research summaries, etc.
Development experience with MuleSoft and Informatica preferred; MicroStrategy a plus
Bachelor's degree or equivalent coursework in data management/computer science


We are an equal opportunity employer and value diversity. All employment is decided on the basis of qualifications, merit and business need.",https://www.indeed.com/viewjob?jk=3638e5774432996d&q=data+engineer&l=United+States&tk=1ers71784o2fb801&from=web&vjs=3
Senior Data Engineer,Gametime,"New York, NY","$125,000 - $170,000 a year","About us:
Live experiences help make us human, bringing us across today’s social and digital divides to focus on what truly connects us - the here, the now, the once-in-a-lifetime moment that we share - together. To fulfill Gametime’s vision to unite the world through shared experiences, we deliver fans an extraordinary experience for enjoying, discovering, and purchasing last-minute tickets to live events.

With platforms on iOS, Android, mobile web, and desktop supporting events across the US and Canada, we are reimagining the event ticket experience in a mobile-first world.

*COVID-19 UPDATE
It’s no secret that the events industry has been hit as hard by the COVID-19 pandemic. Sports, concerts, and theater were first to go back in March, and will likely be last to return. However, we are confident that the rebound is inevitable, and Gametime will be there to facilitate our nation’s need to get out there and connect with friends, family, and strangers alike. Our goal is to prepare for the upswing by developing brand new features while also strengthening our core ticketing product. Join us in helping ensure Gametime continues to be the leader in mobile ticketing.

The Role:
As a Senior Data Engineer at Gametime, you will have the opportunity to work not only within the data team but across the entire business. You’ll be at the forefront of building scalable systems for product, marketing, engineering, finance, and customer support to handle the high volume of data we collect as one of the fastest-growing startups in the Bay Area.

What you'll do/own:

Design and implement scalable data pipelines and data storage on AWS using Kinesis, Redshift, S3, and a Spark based streaming architecture
Create scalable and low latency code for data products using MongoDB, Redis, Elasticsearch or similar
Scale and maintain our Analytics Databases to power our dashboards
Collaborate with our data scientists to productionize their models
Implement Comprehensive Testing and Continuous Integration frameworks for schema, data, and functional processes/pipelines
Our ideal candidate has:

BS in Computer Science or equivalent experience or field
At least 5 years experience using Redshift or a similar Data Warehouse
At least 5 years experience programming, preferably with Python or Go
Hands-on experience with SQL, ETL, Data Warehousing and Data Orchestration
Familiarity with scheduling frameworks, preferably Airflow
Familiarity with real-time/batch distributed systems like Kinesis, Kafka, Spark, professional experience with Redis and Elastic search
Familiarity with business intelligence/analytics tools like Tableau or Periscope Data
What we can offer you:

Flexible PTO
Medical, dental, & vision insurance
Life insurance and disability benefits
401K, HSA, pre-tax savings programs
New equipment setup provided
Wellness programs
Tenure recognition
Gametime is committed to bringing together individuals from different backgrounds and perspectives. We strive to create an inclusive environment where everyone can thrive, feel a sense of belonging, and do great work together. As an equal opportunity employer, we prohibit any unlawful discrimination against a job applicant on the basis of their race, color, religion, veteran status, sex, parental status, gender identity or expression, transgender status, sexual orientation, national origin, age, disability or genetic information. We respect the laws enforced by the EEOC and are dedicated to going above and beyond in fostering diversity across our company.
APPLY FOR THIS JOB

Job Type: Full-time

Pay: $125,000.00 - $170,000.00 per year

Education:

Bachelor's (Preferred)
Work Location:

Fully Remote",https://www.indeed.com/viewjob?cmp=earlyStage-Partners&t=Senior+Data+Engineer&jk=c1f0e4f07a94fffd&q=data+engineer&vjs=3
Data Analyst,"Zane Networks, LLC","Washington, DC 20024","$107,000 - $124,000 a year","COMPANY OVERVIEW

Zane Networks, LLC (ZaneNet) is a leading local small business that helps organizations leverage health technology to better care for individuals and populations. Our projects often address the reduction of health disparities and urgent healthcare crises. We employ top professionals in the fields of healthcare, technology, finance and management and we are looking for candidates who can join our team to help expand equitable access to care in the DC/MD metropolitan area.

For more information about Zane Networks, please visit: www.zanenetworks.com.

POSITION DESCRIPTION

This position will provide data analysis support for a Medicaid managed care plan in the Washington region. The data analyst will collaborate with customers at all levels of the organization to define objectives determine requirements. The position will identify the sources and methodologies for obtaining the necessary data and will research data element definitions for the best and most appropriate data extraction sources, methodologies and categories.

The data analyst will perform analysis and proactively develop reports, tools, databases and dashboards to support the targeting of various member population and the monitoring, tracking and measuring of various projects, initiatives and activities. The analyst will assist in reporting, analyzing, and tracking results with the Provider Network Management team to execute/manage three programs: the Provider Directory, Access to Care surveys and the EPSDT program

ESSENTIAL DUTIES AND RESPONSIBILITIES:

Performs the analysis necessary to measure the effectiveness of existing programs and interventions and then produces the corresponding management reports to support decisions on whether or not to continue, end or modify those programs.
Performs the analysis necessary to identify new potential programs and interventions that have a high probability of success in terms of meeting the department and LOB business goals.
Performs the analysis necessary to identify member populations and conditions that should be targeted for specialized outreach programs and health promotion interventions.
Proactively develops and maintains reports to improve the efficiency and effectiveness of existing activities and programs.
Collaborates with the department leadership to develop and maintain reports, database tools, and dashboard to improve the monitoring and tracking of individual, team and overall department productivity and results.
Develops and maintains reports, database tools, and dashboards to monitor and track member engagement in department programs and interventions executed throughout the year.
Manages the development of detailed reporting to identify gaps and makes recommendations to remediate gaps.
Develops recommendations based on analyses of large data sets.
Responsible for assuring the accuracy and validity of both source data and results and interpreting results into recommendations.
Present findings to internal customers and engages with state officials/agencies, as required.
EDUCATION/EXPERIENCE:

2-5 years’ experience in business/data analysis
Bachelor’s Degree in Healthcare or business-related field
Experience in managed care and/or utilization tracking.
DC Resident preferred
Job Type: Full-time

Pay: $107,000.00 - $124,000.00 per year

Benefits:

401(k)
Dental insurance
Disability insurance
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Retirement plan
Vision insurance
Schedule:

Monday to Friday
COVID-19 considerations:
Work is remote due to COVID-19.

Education:

Bachelor's (Preferred)
Experience:

Business Analysis: 2 years (Preferred)
Managed care: 1 year (Preferred)
Work Location:

One location
Company's website:

www.zanenetworks.com
Company's Facebook page:

https://www.facebook.com/ZNTLLC/
Benefit Conditions:

Only full-time employees eligible
Work Remotely:

Temporarily due to COVID-19
COVID-19 Precaution(s):

Remote interview process
Personal protective equipment provided or required
Plastic shield at work stations
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place","https://www.indeed.com/viewjob?cmp=Zane-Networks,-LLC&t=Data+Analyst&jk=a33ca7e981ab20b4&q=%22data+analyst%22&vjs=3"
Data Analyst,HealthMark Group,"Dallas, TX","$60,000 - $75,000 a year","Data Analyst I

The primary objective for this role is to help execute HealthMark’s core focus of leveraging technology to reimagine business functions. HealthMark’s applications offer internal and external users access to a variety of data points related to inventory management, process flow, patient intake, financial/accounting and human resources. The Data Analyst I will get to serve the organization in three areas: (1) ETL/data mapping, (2) visualization, and (3) investigation/analysis. The Data Analyst I will work to become a resident data expert and begin to identify, analyze, and interpret trends that impact our service lines. The data analyst serves as a gatekeeper for the organization's data so stakeholders can understand data and use it to make strategic business decisions.

Responsibilities Include:

ETL and Data Mapping

Integrate, define, and test data sources across the organization utilizing Microsoft SQL Server.
Map and categorize data against business elements and user needs.
Data Visualization and Reporting

Develop graphs, dashboards and ad hoc reports.
Serve as a decision support resource for the organization building custom queries to provide answers to questions.
Data Analysis

Proactively investigate business performance seeking ways to determine actions to correct or improve processes.
Working alongside teams within the business or the management team to establish business needs
Present findings to business leaders in a concise and simple way.
Identifying patterns and trends in data sets
Requirements Include:

BS/MS in Computer Science, Mathematics, Economics, Statistics, Information Science or equivalent experience
1+ years of data and business analysis
Experience with Microsoft SQL Server
Experience with Microsoft Excel
Ability to prioritize effectively
Strong attention to detail and organizational skills
Excellent oral and written communication
An analytical mind and inclination for problem-solving
Ability to write comprehensive reports
Job Type: Full-time

Pay: $60,000.00 - $75,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible schedule
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Referral program
Retirement plan
Vision insurance
Schedule:

8 hour shift
Monday to Friday
Supplemental Pay:

Bonus pay
Education:

Bachelor's (Preferred)
Experience:

Business Analysis: 1 year (Preferred)
Microsoft SQL Server: 1 year (Preferred)
Work Location:

Fully Remote
Company's website:

www.healthmark-group.com
Benefit Conditions:

Waiting period may apply
Only full-time employees eligible
COVID-19 Precaution(s):

Remote interview process
Virtual meetings",https://www.indeed.com/viewjob?cmp=HealthMark-Group&t=Data+Analyst&jk=b386830203ab902c&sjdu=Zzi_VW2ygsY1fzh3Ma9ZsE4zIT1NTXCwgFBhdjeTC3NqZZhEl-GuPg1h8J32ha1iEPSMLH9xHB_CuFJdvLv-cw&tk=1ers0k5g8oca8800&adid=363000998&ad=-6NYlbfkN0DOizNaQeUJ8V-SEswXXGZ_VhNJSHkt4BB9nm9K8cJTTxreku6vhBCQb8hay5HR-P65myLVXVCeNBN8URXMy9e0DggoVwCjB2hd_nGpivNZjFiX0oyAxUnxTc8dcDDd0QLUpPEcCdFrSKaJuC3f6KVJ5Ti6OjastKJ66FrJh-nvZfBcAYFpjJkDla2C3pbf2oiV6YwwUafymRb5TWaiA3vtMP4PngNbtro_4EzJLxqUXMY8j23mutDk9fiYDCV_cBFFSzOiRrH28TGHPAb1mxQzLzrBy30OPhlSTVS7ZCyT17C81mO7xO-sWxWbhBF94mbQjcStyh2anA%3D%3D&pub=4a1b367933fd867b19b072952f68dceb&vjs=3
Data Analyst/Data Scientist,Cash Factory USA,"Las Vegas, NV 89109","$70,000 - $85,000 a year","Cash Factory USA is looking for a Data Analyst/Data Scientist

The Role

We have an open full-time role for a Data Analyst/Data Scientist in our Las Vegas office. You will be working with our internal Marketing, Technology, and Analytic teams as we develop new customer marketing campaigns for our consumer loan business. You will also be highly involved in our credit and fraud analytics, optimizing, and enhancing our existing models.

Hands on Experience with SQL or other advanced packages is a must. Experience with other programming languages, including R, PHP, or Python is a plus but not a requirement.

Responsibilities and Duties

· Develop and enhance SQL code for the administration and optimization of marketing and credit analytics

· Formulate complex structured query language statements, particularly in SQL

· Assist in database additions and alterations as needed to support campaigns or credit optimizations

· Produce project estimates for hours required to examine problems and implement solutions

· Communicate with supervisor about progress of tasks

· Ensure timely completion of deliverables

Preferred Qualifications:

· Bachelor’s degree in business from a 4-year university, with a quantitative discipline

· Advanced proficiency and a minimum of 3 years using Microsoft Excel and SQL. Understanding or other programming languages a plus

· Experience in advanced analytics and problem-solving using data

· Ability to complete work tasks within scheduled work hours

· Excellent verbal and written communication skills

· Ability to work independently while part of a team

· Adherence to the highest standard of ethical conduct and confidentiality

· Professional appearance and demeanor

If you feel your experience meets our requirements, please feel free to submit your resume below.

Cash Factory USA reserves the right to make changes to the job description whenever necessary.

As a part of Cash Factory USA’s employment process, finalist candidates will be required to complete a background check. Cash Factory USA is an equal opportunity employer.

All qualified applicants will receive consideration for employment without regard to race, national origin, gender, age, religion, disability, sexual orientation, veteran status, or marital status.

Job Type: Full-time

Pay: $70,000.00 - $85,000.00 per year

Job Type: Full-time

Pay: $70,000.00 - $85,000.00 per year

Benefits:

Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:

8 hour shift
Education:

Bachelor's (Preferred)
Experience:

Microsoft Excel and SQL: 3 years (Preferred)
Work Location:

One location
Work Remotely:

No",https://www.indeed.com/viewjob?cmp=Cash-Factory-USA&t=Data+Analyst+Data+Scientist&jk=cf9eae137ef43bbc&q=Data+Scientist&vjs=3
Associate Data Engineer,Uplight,"Boston, MA","$64,000 - $90,000 a year","Do you dream about creating a more sustainable future? At Uplight, we are motivating energy users and providers to accelerate the clean energy ecosystem. Working with over 90 of the world’s leading electric and gas utilities, Uplight provides an end-to-end customer energy experience. Uplight delivers personalized experiences that customers have now come to expect–improving satisfaction, increasing revenue, reducing the cost to serve, and contributing to carbon reduction goals. We are B Corp certified, enabling us to put our values into action by not only making decisions for the benefit of our shareholders, but also for our customers, environment, employees, and community.

We are seeking an Associate Data Engineer to join our team and help us achieve our ambitious goals for our business and the planet.

What you get to do:

Uplight’s analytics engineering pod is a cross-functional team responsible for core data and machine learning pipelines that power many of Uplight’s core analytics products. An engineer on our pod thrives when working agile on high impact projects. They understand the common trade-offs in software development and understand how to pitch and prioritize work that moves the product in a positive direction. They are an exceptional communicator both within and outside of the engineering organization.

Skills and experience are necessary, but we hire on value alignment first, so if you feel you would be a good fit with us, still consider applying.

What you will contribute:

Work as an Engineer on our analytics engineering team, primarily developing in Python and leveraging a wide range of technologies, notably: AWS and GCP, Docker, Apache Airflow, Apache Spark, and PostgreSQL
Take problems from inception all the way to completion - own the building, testing, deployment, and maintenance of the code that you work on
Tackle complex problems that span a wide range of technical abilities, including:
Developing data pipelines to transform and process data between systems
Productionize machine learning pipelines leveraging billions of rows of data
Scaling our software to handle the ever-growing customer data
Work effectively on an Agile team and collaborate well with your other team members.
What you bring to Uplight:

Skills programming in at least one language
Interest in developing Machine Learning Engineering skills
A value for testing and developing quality software
Strong critical thinking skills and a desire to work with ambiguous challenges
Experience working in an Agile environment and a strong understanding of the full SDLC
Strong troubleshooting skills that span the full-stack (front-end clients, APIs, networking, DNS, Linux, containers, databases, distributed systems, etc.)
Experience deploying production applications on at least one major cloud provider (AWS, GCP, Azure)
Bonus Points:

Experience writing and maintaining data pipelines and ETLs leveraging Spark
Experience working cross-functionally with design, product, customer success, sales, etc.
What makes working at Uplight amazing:

In addition to all the standard medical and dental benefits, that kick in Day 1, we:

Are proud to be over 300+ rebels with an important cause by helping to create a more sustainable planet.
Are committed to the environment, our employees, and our communities.
Are focused on career growth by following defined career ladders
Take our work and mission seriously and….we love to laugh!
We also:

Provide a 401k Match
Medical, vision, and dental insurance
Monthly wellness stipend
Peer to peer recognition program
Management by objective bonus plan
Innovated flexible time off
Keep you energized with plenty of food and drink (when our offices reopen)
Salary Range: $64,000 to $90,000 (dependent on experience)

Uplight provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",https://www.indeed.com/viewjob?jk=4efea35841f8bf1a&tk=1ers6ukgcosh1802&from=serp&vjs=3
Data Scientist,"Cybraics, Inc.","Arlington, VA","$100,000 - $170,000 a year","What you will do

At Cybraics, we are looking to build the most advanced threat detection capabilities to defend the largest networks in the world. As a member of the security analytics team, you will engage directly with cyber security SMEs to identify and define use cases and requirements for analytics. You will work closely with other data scientists and data engineers to propose and develop analytical solutions for an enterprise scale streaming solution. You will have the opportunity to manage your projects from start to finish, and directly impact our customers’ overall security. This is an opportunity to work in a fast-paced environment with cutting-edge technologies alongside a team of security and analytics experts.

Basic qualifications

Familiarity with Big Data technologies such as Spark, Impala, Kafka, ELK
Strong understanding of statistical and machine learning models
Experience with programming languages like Scala and Python for data analysis
Practical data wrangling skills (SQL, Python, R)
Ability to take theory to practice rapidly
Experience with CI/CD tools such as Gitlab
Demonstrated experience applying data science techniques to real-world problems
US Citizen or Green Card holder
Preferred qualifications

Experience in cyber security or cyber defense
MS/PhD in a data related field such as mathematics, computer science, engineering, or similar
3 years of working experience in developing enterprise scale solutions
Streaming or near-real time analytic deployment experience
Experience with a large-scale data processing engine, such as Apache Spark
Job Type: Full-time

Pay: $100,000.00 - $170,000.00 per year

Benefits:

401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Vision insurance
Schedule:

8 hour shift
Education:

Bachelor's (Preferred)
Experience:

Machine Learning: 1 year (Preferred)
Python: 1 year (Preferred)
Work Location:

Multiple locations
Company's website:

www.cybraics.com
COVID-19 Precaution(s):

Remote interview process
Virtual meetings","https://www.indeed.com/viewjob?cmp=Cybraics,-Inc.&t=Data+Scientist&jk=baf46c8025b10cf7&q=Data+Scientist&vjs=3"
Data Analyst,"City of Glendale, AZ","Glendale, AZ 85301","$57,241 - $85,862 a year","Description
The Data Analyst position will work with the Data Architect and be a liaison with department users to analyze, document and design solutions to meet data analysis and reporting solutions. The Data Analyst will be a subject matter expert on the application of business intelligence reporting tools and will work with departments to successfully implement and apply those tools to meet operational requirements.
First review of applications will start on January 2, 2021.

PLEASE NOTE: When certifying your application for the City of Glendale, you are acknowledging the following statement:
The City does not sponsor any employment-based immigrant visas, applicants must be currently authorized to work in the United States on a full-time basis.

Essential Functions
Work directly with Data Architect to define, develop and implement data analysis solutions
Install and configure software as necessary to support data analysis and reporting functionality
Provides consulting, instruction, direction and technical assistance to departments as required for data analysis and reporting development.
Analyze, develop, implement and document databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.
Interpret data, analyze results using statistical techniques and recommend solutions to meet business need
Acquire data from primary or secondary data sources using standard SQL
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and ""clean"" data by reviewing computer reports, printouts, and performance indicators to locate and correct sources of data error
Work with management to prioritize business and information needs
Adhere to current data visualization standards for report design
Provide documentation and training to departments as necessary to assist with data analysis and reporting
Provide accurate project estimates to include schedule and cost for assigned projects
Follow established change control processes as necessary
Leverage existing data and reports to minimize unnecessary data and report creation
Ensure proper security measures are applied as necessary to data repositories and reports
Locate and define new process improvement opportunities based on understanding of City processes
Perform other related duties as assigned.
Minimum Qualifications & Special Requirements
A Bachelor's degree in Computer Science, Mathematics, Statistics or a related field and two years progressively responsible experience in a directly related area.

Knowledge of:
Tableau data analysis software
Data visualization design principles
Business process analysis
Project management
Budget management
Software analysis, design, development and implementation techniques
Current industry trends and best practices
Technology as applied to business operations
A wide variety of analytical processes (governance, measurement, information security, etc.)
Key BI trends

Ability to:
Work in a self-directed manner
Prioritize work processes and projects
Analyze business processes
Identify data trends and patterns
Conduct research; analyze findings; prepare and present recommendations to management
Communicate clearly both verbally and in writing
Establish and maintain effective working relationships with city staff
Continually learn and demonstrate new skills via hands on training, classroom training and self-study
Translate broader business initiatives into clear team objectives and concrete individual goals, aligning appropriately with other groups for efficient, coordinated action

Any equivalent combination of training and experience that provides the required knowledge, skills and abilities is qualifying.

Special Requirements
Valid Arizona driver's license
Industry standard certification(s) as appropriate Certifications in Data Analytics, Business Intelligence or related area.",https://www.indeed.com/viewjob?jk=74c225cc66aaad6b&tk=1ers9phheo1ib801&from=serp&vjs=3
Data Scientist,"Excella, Inc.","Arlington, VA 22201","$110,000 - $170,000 a year","Data Scientist

Excella is a leading provider of Agile software development and data and analytics solutions to clients in the federal, commercial and non-profit sectors. We believe that great work leads to great things –- our experts measure success by the positive impact we make on our clients, community, and colleagues. We are growing fast and need passionate, innovative people who love working with technology and are ready to make an impact.

Here's what you can expect from us:

You'll work with great people who love what they do: our team includes published authors, certified trainers, and internationally renowned speakers.
We have a ""bring your own device"" workplace and will share the cost of a new computer of your choice -- Mac or PC. It's up to you.
We'll invest in your career by providing 3 days of paid professional development every year, including travel and registration fees to attend classes and conferences, in addition to tuition assistance for degrees and certifications.
Starting day one, every employee is bonus eligible and receives 15 days of paid vacation, 6 federal holidays, and 4 floating holidays.
You can bike, drive, or metro to work -- our commute reimbursement plan has you covered.
You'll have fun! We hold monthly social events all year long, including a summer event for you and your family.
Excella is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.

Overview

The Data Scientist is responsible for using advanced statistical, algorithmic, machine learning, data mining and visualization techniques to help advance and complete client projects. The Data Scientist must also be able to communicate complex quantitative analyses in a clear, precise, and actionable manner to management and executive level audiences.

Responsibilities

Working directly with client stakeholders to understand and define analysis objectives and then translate these into actionable results.
Obtaining data from multiple, disparate data sources including structured, semi-structured and unstructured data.
Using machine learning and data mining technique to understand the patterns in large volumes of data, identify relationships detect data anomalies, and classify data sets.
Working with data integration developers to assess data quality and define data processing business rules for cleansing, aggregation, enhancement etc. support analysis and predictive modelling activities.
Designing and building algorithms and predictive models using techniques such as linear and logistic regression, support vector machines, ensemble models (random forest and/or gradient boosted trees), neural networks, and clustering techniques.
Deploying predictive models and integrating them into business processes and applications.
Validating and optimizing model performance upon deployment and tracking over time as necessary.
Presenting complex analysis results tailored to different audiences (e.g. technical, manager, executive) in a highly consumable and actionable form including the use of data visualizations.
Qualifications

Technical:

3+ years in a hands-on role performing advanced predictive analytics using tools like Python, R, or Scala.
3+ years writing simple to complex SQL queries to obtain data from multiple source systems.
3+ years using data mining methods, such as clustering analysis and anomaly detection, to understand data patterns and select appropriate predictive techniques.
Experience with applied machine learning (tree-based methods, ensemble methods, neural networks/deep learning)
Proficient understanding of relational (e.g. Oracle, SQL Server, PostgreSQL) and Big Data distributed structures (Hadoop/Spark) in order to source data effectively.
Experience using natural language processing techniques preferred.
Experience using advanced analytics techniques for fraud detection and prevention preferred.
Experience building machine learning models for production environment preferred.
Non-Technical:

Excellent communication skills to be able to interact directly with non-technical client stakeholders and act in a business-to-technical translation role.
Experience working in an onsite client technical consulting environment preferred.
Experience working within the Agile Scrum Framework.
Self-motivated and self-managing.
Proficient in creating reasonable and accurate time estimates for assigned tasks.
Job Type: Full-time

Pay: $110,000.00 - $170,000.00 per year

Benefits:

401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Tuition reimbursement
Vision insurance
Schedule:

Monday to Friday
Supplemental Pay:

Bonus pay
COVID-19 considerations:
During the COVID crisis, Excella and all of our employees are working 100% remote. Most positions will be expected to return to working on-site with our clients, once the crisis had ended, and our Response Team has determined that it is safe to do so.

Education:

Bachelor's (Preferred)
Experience:

Data Science: 3 years (Required)
Python: 2 years (Preferred)
This Job Is Ideal for Someone Who Is:

People-oriented -- enjoys interacting with people and working on group projects
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
This Company Describes Its Culture as:

Outcome-oriented -- results-focused with strong performance culture
Team-oriented -- cooperative and collaborative
Company's website:

www.excella.com
Work Remotely:

Yes
COVID-19 Precaution(s):

Remote interview process
Virtual meetings",https://www.indeed.com/viewjob?cmp=Excella%2C-Inc.&t=Data+Scientist&jk=a3ba4356ffd6123f&sjdu=QwrRXKrqZ3CNX5W-O9jEveJgZ7DRbh_ySwPONsqRa9Y_uOEsffbF_-51eHTQ3OVltN3z33Qcn9ZgXUiics_QoQ&tk=1ercfvhq8o26f800&adid=362387516&ad=-6NYlbfkN0BngSc1vo6aQ7iMBmTVi4J4ulrPPbEdkY4imFSRnrZOuFT7oWKGSs5Tnwwds5NWpFNo3cxaTee1sKdVjegggpiFaiorr08QUjN1gsdtGtR4uSTKhH6nhky7Zw2CxB0TSFqANpS6kV24zJmYjExq1S69lAn6D5B_MhxJin8x3mdnavBB3SJgtxxpGdYxkZa3AF4u32RPHBQeCVs0GN3ps-amhjYeHjy9GyHLDv-wMEpAJZxIGcT8-XibQrr3Ht_5-9ZxNrCI7tJS-gEXGFJ6xy1iT3Fnj5HMG981QEX9C5UB1_DxY6VLOoPwENHhwqY3cq9yV2XreDmtAGZwOq8qUd5Q&pub=4a1b367933fd867b19b072952f68dceb&vjs=3
