,geo,time,cell_phones_total
0,abw,1960,0.0
1,abw,1965,0.0
2,abw,1970,0.0
3,abw,1975,0.0
4,abw,1976,0.0
5,abw,1977,0.0
6,abw,1978,0.0
7,abw,1979,0.0
8,abw,1980,0.0
9,abw,1981,0.0
10,abw,1982,0.0
11,abw,1983,0.0
12,abw,1984,0.0
13,abw,1985,0.0
14,abw,1986,0.0
15,abw,1987,0.0
16,abw,1988,0.0
17,abw,1989,0.0
18,abw,1990,0.0
19,abw,1991,0.0
20,abw,1992,20.0
21,abw,1995,1718.0
22,abw,1996,3000.0
23,abw,1997,3402.0
24,abw,1998,5380.0
25,abw,1999,12000.0
26,abw,2000,15000.0
27,abw,2001,53000.0
28,abw,2002,61800.0
29,abw,2003,69952.0
30,abw,2004,98389.0
31,abw,2005,103417.0
32,abw,2006,109030.0
33,abw,2007,113586.0
34,abw,2008,120806.0
35,abw,2009,128000.0
36,abw,2010,131800.0
37,abw,2012,135000.0
38,abw,2013,138800.0
39,abw,2014,139700.0
40,abw,2015,141000.0
41,afg,1960,0.0
42,afg,1965,0.0
43,afg,1970,0.0
44,afg,1975,0.0
45,afg,1976,0.0
46,afg,1977,0.0
47,afg,1978,0.0
48,afg,1979,0.0
49,afg,1980,0.0
50,afg,1981,0.0
51,afg,1982,0.0
52,afg,1983,0.0
53,afg,1984,0.0
54,afg,1985,0.0
55,afg,1986,0.0
56,afg,1987,0.0
57,afg,1988,0.0
58,afg,1989,0.0
59,afg,1990,0.0
60,afg,1991,0.0
61,afg,1992,0.0
62,afg,1993,0.0
63,afg,1994,0.0
64,afg,1995,0.0
65,afg,1996,0.0
66,afg,1997,0.0
67,afg,1998,0.0
68,afg,1999,0.0
69,afg,2000,0.0
70,afg,2001,0.0
71,afg,2002,25000.0
72,afg,2003,200000.0
73,afg,2004,600000.0
74,afg,2005,1200000.0
75,afg,2006,2520366.0
76,afg,2007,4668096.0
77,afg,2008,7898909.0
78,afg,2009,10500000.0
79,afg,2010,10215840.0
80,afg,2011,13797879.0
81,afg,2012,15340115.0
82,afg,2013,16807156.0
83,afg,2014,18407168.0
84,afg,2015,19709038.0
85,afg,2016,21602982.0
86,afg,2017,23929713.0
87,afg,2018,21976355.0
88,afg,2019,22580071.0
89,ago,1960,0.0
90,ago,1965,0.0
91,ago,1970,0.0
92,ago,1975,0.0
93,ago,1976,0.0
94,ago,1977,0.0
95,ago,1978,0.0
96,ago,1979,0.0
97,ago,1980,0.0
98,ago,1981,0.0
99,ago,1982,0.0
100,ago,1983,0.0
101,ago,1984,0.0
102,ago,1985,0.0
103,ago,1986,0.0
104,ago,1987,0.0
105,ago,1988,0.0
106,ago,1989,0.0
107,ago,1990,0.0
108,ago,1991,0.0
109,ago,1992,0.0
110,ago,1993,1100.0
111,ago,1994,1824.0
112,ago,1995,1994.0
113,ago,1996,3298.0
114,ago,1997,7052.0
115,ago,1998,9820.0
116,ago,1999,24000.0
117,ago,2000,25806.0
118,ago,2001,75000.0
119,ago,2002,140000.0
120,ago,2003,350000.0
121,ago,2004,740000.0
122,ago,2005,1611118.0
123,ago,2006,3054620.0
124,ago,2007,4961536.0
125,ago,2008,6773356.0
126,ago,2009,8109421.0
127,ago,2010,9403365.0
128,ago,2011,12073218.0
129,ago,2012,12785109.0
130,ago,2013,13285198.0
131,ago,2014,14052558.0
132,ago,2015,13884532.0
133,ago,2016,13001124.0
134,ago,2017,13323952.0
135,ago,2018,13288421.0
136,ago,2019,14830154.0
137,alb,1960,0.0
138,alb,1965,0.0
139,alb,1970,0.0
140,alb,1975,0.0
141,alb,1976,0.0
142,alb,1977,0.0
143,alb,1978,0.0
144,alb,1979,0.0
145,alb,1980,0.0
146,alb,1981,0.0
147,alb,1982,0.0
148,alb,1983,0.0
149,alb,1984,0.0
150,alb,1985,0.0
151,alb,1986,0.0
152,alb,1987,0.0
153,alb,1988,0.0
154,alb,1989,0.0
155,alb,1990,0.0
156,alb,1991,0.0
157,alb,1992,0.0
158,alb,1993,0.0
159,alb,1994,0.0
160,alb,1995,0.0
161,alb,1996,2300.0
162,alb,1997,3300.0
163,alb,1998,5600.0
164,alb,1999,11008.0
165,alb,2000,29791.0
166,alb,2001,392650.0
167,alb,2002,851000.0
168,alb,2003,1100000.0
169,alb,2004,1259590.0
170,alb,2005,1530244.0
171,alb,2006,1909885.0
172,alb,2007,2322436.0
173,alb,2008,1859632.0
174,alb,2009,2463741.0
175,alb,2010,2692372.0
176,alb,2011,3100000.0
177,alb,2012,3500000.0
178,alb,2013,3685983.0
179,alb,2014,3359654.0
180,alb,2015,3400955.0
181,alb,2016,3369756.0
182,alb,2017,3625699.0
183,alb,2018,2714878.0
184,alb,2019,2630076.0
185,and,1960,0.0
186,and,1965,0.0
187,and,1970,0.0
188,and,1975,0.0
189,and,1976,0.0
190,and,1977,0.0
191,and,1978,0.0
192,and,1979,0.0
193,and,1980,0.0
194,and,1981,0.0
195,and,1982,0.0
196,and,1983,0.0
197,and,1984,0.0
198,and,1985,0.0
199,and,1986,0.0
200,and,1987,0.0
201,and,1988,0.0
202,and,1989,0.0
203,and,1990,0.0
204,and,1991,0.0
205,and,1992,770.0
206,and,1993,780.0
207,and,1994,784.0
208,and,1995,2825.0
209,and,1996,5488.0
210,and,1997,8618.0
211,and,1998,14117.0
212,and,1999,20600.0
213,and,2000,23543.0
214,and,2001,29429.0
215,and,2002,32790.0
216,and,2003,51893.0
217,and,2004,58366.0
218,and,2005,64560.0
219,and,2006,69004.0
220,and,2007,63503.0
221,and,2008,64202.0
222,and,2009,64549.0
223,and,2010,65495.0
224,and,2011,65044.0
225,and,2012,63865.0
226,and,2013,63931.0
227,and,2014,66241.0
228,and,2015,71336.0
229,and,2016,76132.0
230,and,2017,80337.0
231,and,2018,82614.0
232,and,2019,87909.0
233,are,1982,2330.0
234,are,1983,3564.0
235,are,1984,4936.0
236,are,1985,7924.0
237,are,1986,11191.0
238,are,1987,13711.0
239,are,1988,13823.0
240,are,1989,24946.0
241,are,1990,33578.0
242,are,1991,43008.0
243,are,1992,48919.0
244,are,1993,70586.0
245,are,1994,91488.0
246,are,1995,128968.0
247,are,1996,193834.0
248,are,1997,309373.0
249,are,1998,493278.0
250,are,1999,832267.0
251,are,2000,1428115.0
252,are,2001,1909303.0
253,are,2002,2428071.0
254,are,2003,2972331.0
255,are,2004,3683117.0
256,are,2005,4534143.0
257,are,2006,5519293.0
258,are,2007,7731508.0
259,are,2008,9357735.0
260,are,2009,10671878.0
261,are,2010,10926019.0
262,are,2011,11727401.0
263,are,2012,13775252.0
264,are,2013,16063547.0
265,are,2014,16819024.0
266,are,2015,17942560.0
267,are,2016,19905093.0
268,are,2017,19826224.0
269,are,2018,20081015.0
270,are,2019,19602815.0
271,arg,1960,0.0
272,arg,1965,0.0
273,arg,1970,0.0
274,arg,1975,0.0
275,arg,1976,0.0
276,arg,1977,0.0
277,arg,1978,0.0
278,arg,1979,0.0
279,arg,1980,0.0
280,arg,1981,0.0
281,arg,1982,0.0
282,arg,1983,0.0
283,arg,1984,0.0
284,arg,1985,0.0
285,arg,1986,0.0
286,arg,1987,0.0
287,arg,1988,0.0
288,arg,1989,2300.0
289,arg,1990,12000.0
290,arg,1991,25000.0
291,arg,1992,46590.0
292,arg,1993,112000.0
293,arg,1994,241163.0
294,arg,1995,405395.0
295,arg,1996,667020.0
296,arg,1997,2009073.0
297,arg,1998,2670862.0
