ID,gender,age,group,time
1,M,30,M30-34,2.371944445
2,M,26,M25-29,2.450555555
3,M,32,M30-34,2.457777778
4,M,35,M35-39,2.655833333
5,M,26,M25-29,2.736111112
6,M,21,M18-24,2.829444445
7,M,42,M40-44,2.764444445
8,M,28,M25-29,2.806666667
9,M,41,M40-44,2.858055555
10,M,37,M35-39,2.8675
11,M,33,M30-34,2.889444445
12,M,41,M40-44,2.891944445
13,M,35,M35-39,2.894444445
14,M,25,M25-29,2.896666667
15,M,32,M30-34,2.899722222
16,M,27,M25-29,2.902777778
17,F,37,F35-39,2.905277778
18,M,38,M35-39,2.91
19,M,26,M25-29,3.438611112
20,M,42,M40-44,2.936388888
21,M,37,M35-39,2.938611112
22,M,51,M50-54,2.953611112
23,M,42,M40-44,2.963611112
24,M,31,M30-34,2.960833333
25,M,31,M30-34,2.9675
26,M,37,M35-39,2.974166667
27,M,18,M18-24,3.242222222
28,F,22,F18-24,2.985277778
29,M,39,M35-39,2.991388888
30,M,41,M40-44,2.993333333
31,M,22,M18-24,2.996944445
32,M,29,M25-29,3.033611112
33,M,30,M30-34,3.031666667
34,M,30,M30-34,3.038888888
35,M,33,M30-34,3.0375
36,M,24,M18-24,3.036944445
37,M,24,M18-24,3.053888888
38,M,31,M30-34,3.063888888
39,M,28,M25-29,3.065
40,M,34,M30-34,3.066388888
41,M,38,M35-39,3.077222222
42,M,31,M30-34,3.084444445
43,M,45,M45-49,3.085277778
44,M,37,M35-39,3.104166667
45,M,47,M45-49,3.114722222
46,M,49,M45-49,3.125555555
47,M,33,M30-34,3.643611112
48,M,52,M50-54,3.136111112
49,M,39,M35-39,3.138611112
50,M,38,M35-39,3.139444445
51,M,39,M35-39,3.144722222
52,M,34,M30-34,3.139722222
53,M,27,M25-29,3.140277778
54,M,43,M40-44,3.149166667
55,M,29,M25-29,3.156666667
56,M,42,M40-44,3.162777778
57,M,50,M50-54,3.165
58,M,50,M50-54,3.163888888
59,M,31,M30-34,3.173333333
60,M,38,M35-39,3.181111112
61,M,29,M25-29,3.2375
62,F,44,F40-44,3.207777778
63,M,31,M30-34,3.209722222
64,M,32,M30-34,3.211388888
65,M,42,M40-44,3.217222222
66,M,42,M40-44,3.230277778
67,M,42,M40-44,3.234166667
68,M,41,M40-44,3.2475
69,M,41,M40-44,3.243333333
70,F,31,F30-34,3.244444445
71,M,23,M18-24,3.248055555
72,M,42,M40-44,3.253611112
73,M,22,M18-24,3.291666667
74,M,44,M40-44,3.255833333
75,M,23,M18-24,3.258888888
76,M,40,M40-44,3.265277778
77,M,41,M40-44,3.266111112
78,M,33,M30-34,3.266388888
79,M,47,M45-49,3.266944445
80,M,32,M30-34,3.276944445
81,M,35,M35-39,3.282777778
82,M,39,M35-39,3.281111112
83,M,41,M40-44,3.36
84,M,50,M50-54,3.285
85,M,45,M45-49,3.284444445
86,F,28,F25-29,3.290833333
87,M,34,M30-34,3.289166667
88,M,41,M40-44,3.344722222
89,F,31,F30-34,3.3
90,M,34,M30-34,3.307777778
91,M,44,M40-44,3.306666667
92,M,20,M18-24,3.313333333
93,M,39,M35-39,3.318888888
94,M,47,M45-49,3.323611112
95,M,39,M35-39,3.324722222
96,M,30,M30-34,3.330277778
97,M,25,M25-29,3.325277778
98,F,39,F35-39,3.329166667
99,M,46,M45-49,3.326666667
100,M,42,M40-44,3.325277778
101,M,34,M30-34,3.329444445
102,M,46,M45-49,3.3325
103,M,20,M18-24,3.338055555
104,M,49,M45-49,3.3375
105,M,33,M30-34,3.336111112
106,M,32,M30-34,3.337777778
107,M,29,M25-29,3.339444445
108,F,35,F35-39,3.346666667
109,M,44,M40-44,3.341944445
110,M,41,M40-44,3.351944445
111,M,32,M30-34,3.347222222
112,M,37,M35-39,3.352222222
113,M,44,M40-44,3.358888888
114,M,53,M50-54,3.356388888
115,M,45,M45-49,3.360555555
116,M,44,M40-44,3.361388888
117,M,45,M45-49,3.365555555
118,M,27,M25-29,3.368055555
119,M,54,M50-54,3.377222222
120,M,26,M25-29,3.776944445
121,M,28,M25-29,3.382777778
122,M,40,M40-44,3.389722222
123,M,30,M30-34,3.523055555
124,F,43,F40-44,3.3975
125,M,39,M35-39,3.397222222
126,M,35,M35-39,3.878888888
127,M,31,M30-34,3.403611112
128,M,44,M40-44,3.408055555
129,F,43,F40-44,3.404166667
130,M,40,M40-44,3.411944445
131,M,22,M18-24,3.409722222
132,M,28,M25-29,3.413888888
133,M,49,M45-49,3.411111112
134,M,50,M50-54,3.411944445
135,F,34,F30-34,3.415277778
136,M,59,M55-59,3.413333333
137,M,34,M30-34,3.416388888
138,F,38,F35-39,3.413611112
139,M,33,M30-34,3.486944445
140,M,43,M40-44,3.4875
141,M,41,M40-44,3.413888888
142,M,38,M35-39,3.416666667
143,M,35,M35-39,3.421111112
144,F,41,F40-44,3.420555555
145,M,26,M25-29,4.042222222
146,F,23,F18-24,3.426666667
147,M,27,M25-29,3.425833333
148,F,32,F30-34,3.428333333
149,M,59,M55-59,3.429444445
150,M,23,M18-24,3.465833333
151,M,42,M40-44,3.431944445
152,M,37,M35-39,3.439166667
153,M,45,M45-49,3.440277778
154,M,42,M40-44,3.45
155,M,55,M55-59,3.440555555
156,M,30,M30-34,3.439166667
157,M,49,M45-49,3.479722222
158,M,59,M55-59,3.45
159,F,41,F40-44,3.4525
160,M,42,M40-44,3.628055555
161,M,40,M40-44,3.466111112
162,M,27,M25-29,3.546111112
163,M,41,M40-44,3.466666667
164,M,21,M18-24,3.636111112
165,F,36,F35-39,3.474166667
166,M,30,M30-34,3.468611112
167,M,47,M45-49,3.474166667
168,M,39,M35-39,3.543333333
169,M,25,M25-29,3.474166667
170,M,39,M35-39,3.660833333
171,F,51,F50-54,3.486666667
172,M,35,M35-39,3.491388888
173,M,59,M55-59,3.486388888
174,M,25,M25-29,3.484166667
175,F,21,F18-24,3.492222222
176,M,23,M18-24,3.854444445
177,M,34,M30-34,3.485277778
178,F,39,F35-39,3.488888888
179,M,27,M25-29,3.497777778
180,M,52,M50-54,3.496666667
181,M,23,M18-24,3.495
182,F,34,F30-34,3.497222222
183,F,23,F18-24,3.496388888
184,M,52,M50-54,3.506944445
185,M,43,M40-44,3.499722222
186,M,34,M30-34,3.498888888
187,M,47,M45-49,3.5025
188,M,37,M35-39,3.956944445
189,M,40,M40-44,3.505555555
190,F,42,F40-44,3.51
191,M,36,M35-39,3.508611112
192,M,32,M30-34,3.511111112
193,M,36,M35-39,3.580277778
194,M,38,M35-39,3.512222222
195,M,28,M25-29,3.552777778
196,M,40,M40-44,3.515277778
197,M,40,M40-44,3.521111112
198,F,50,F50-54,3.528611112
199,M,49,M45-49,3.526944445
200,M,29,M25-29,3.526666667
201,M,39,M35-39,3.524166667
202,M,30,M30-34,3.714166667
203,M,57,M55-59,3.527222222
204,F,34,F30-34,4.038888888
205,M,27,M25-29,4.145277778
206,M,34,M30-34,3.543611112
207,M,30,M30-34,3.587777778
208,M,25,M25-29,3.541944445
209,M,31,M30-34,3.541944445
210,M,40,M40-44,3.621944445
211,F,46,F45-49,3.550277778
212,M,35,M35-39,3.590277778
213,M,41,M40-44,3.589444445
214,M,33,M30-34,3.601944445
215,M,48,M45-49,3.5575
216,M,38,M35-39,3.561111112
217,M,51,M50-54,3.557777778
218,M,43,M40-44,3.566111112
219,M,32,M30-34,3.563888888
220,M,22,M18-24,3.5675
221,M,29,M25-29,3.569444445
222,M,40,M40-44,3.577222222
223,M,41,M40-44,3.567777778
224,M,41,M40-44,3.573888888
225,M,36,M35-39,3.572777778
226,M,46,M45-49,3.611666667
227,M,38,M35-39,3.581388888
228,F,31,F30-34,3.5775
229,M,36,M35-39,3.581944445
230,M,37,M35-39,4.134444445
231,F,27,F25-29,3.582222222
232,M,48,M45-49,3.583611112
233,M,29,M25-29,3.584444445
234,M,52,M50-54,3.588611112
235,M,43,M40-44,3.584722222
236,M,34,M30-34,3.584166667
237,F,33,F30-34,3.591666667
238,F,40,F40-44,3.605
239,M,30,M30-34,3.602222222
240,M,47,M45-49,3.704444445
241,M,55,M55-59,4.138055555
242,M,36,M35-39,3.608611112
243,F,34,F30-34,3.601944445
244,M,53,M50-54,3.611111112
245,F,45,F45-49,3.61
246,M,47,M45-49,4.043055555
247,F,44,F40-44,3.691388888
248,M,39,M35-39,3.616666667
249,M,29,M25-29,3.622222222
250,F,24,F18-24,3.616111112
251,F,43,F40-44,3.623888888
252,M,38,M35-39,3.7675
253,F,42,F40-44,3.656111112
254,M,28,M25-29,3.623333333
255,M,18,M18-24,4.0375
256,M,38,M35-39,3.669722222
257,M,40,M40-44,3.626111112
258,F,23,F18-24,3.634166667
259,M,30,M30-34,3.6325
260,M,43,M40-44,3.633055555
261,M,51,M50-54,3.635833333
262,M,37,M35-39,3.640555555
263,M,47,M45-49,3.641666667
264,F,31,F30-34,4.101388888
265,F,40,F40-44,3.683888888
266,F,34,F30-34,3.644444445
267,M,42,M40-44,3.647222222
268,M,27,M25-29,3.651111112
269,M,33,M30-34,4.158888888
270,M,38,M35-39,3.653055555
271,M,35,M35-39,3.653888888
272,M,45,M45-49,3.667777778
273,M,22,M18-24,3.661388888
274,M,33,M30-34,4.131111112
275,M,48,M45-49,3.661111112
276,F,25,F25-29,3.671666667
277,F,24,F18-24,3.7375
278,F,30,F30-34,3.670555555
