Overall_rank,Country_region,Score,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_life_choices,Generosity,Perceptions_corruption
1,Finland,7.632000000000001,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.20199999999999999,0.39299999999999996
2,Norway,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,
3,Denmark,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,
4,Iceland,7.495,1.3430000000000002,1.6440000000000001,0.914,0.677,0.353,0.138
5,Switzerland,7.487,1.42,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004
6,Netherlands,7.441,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295
7,Canada,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,
8,New Zealand,7.324,1.268,1.601,0.8759999999999999,0.669,0.365,
9,Sweden,7.314,1.355,1.501,0.9129999999999999,0.659,0.285,
10,Australia,7.272,1.34,1.5730000000000002,0.91,0.647,0.361,
11,United Kingdom,7.19,1.244,1.433,0.888,0.46399999999999997,0.262,
12,Austria,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998
13,Costa Rica,7.072,1.01,1.459,0.8170000000000001,0.632,0.14300000000000002,
14,Ireland,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.307,0.306
15,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28
16,Belgium,6.9270000000000005,1.324,1.483,0.894,0.583,0.188,
17,Luxembourg,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.196,
18,United States,6.886,1.3980000000000001,1.4709999999999999,0.8190000000000001,0.547,0.29100000000000004,
19,Israel,6.814,1.301,1.5590000000000002,0.883,0.5329999999999999,0.354,
20,United Arab Emirates,6.774,2.096,0.7759999999999999,0.67,0.284,0.18600000000000003,
21,Czech Republic,6.711,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.064,
22,Malta,6.627000000000001,1.27,1.525,0.884,0.645,0.376,
23,France,6.489,1.2930000000000001,1.466,0.9079999999999999,0.52,0.098,0.17600000000000002
24,Mexico,6.4879999999999995,1.038,1.252,0.7609999999999999,0.479,0.069,
25,Chile,6.476,1.131,1.331,0.8079999999999999,0.431,0.19699999999999998,0.061
26,Taiwan,6.441,1.365,1.436,0.857,0.418,0.151,0.078
27,Panama,6.43,1.112,1.4380000000000002,0.759,0.597,0.125,
28,Brazil,6.419,0.986,1.474,0.675,0.493,0.11,
29,Argentina,6.388,1.073,1.4680000000000002,0.7440000000000001,0.57,0.062,
30,Guatemala,6.382000000000001,0.7809999999999999,1.268,0.608,0.604,0.179,
31,Uruguay,6.379,1.093,1.459,0.7709999999999999,0.625,0.13,
32,Qatar,6.374,1.649,1.3030000000000002,0.748,0.654,0.256,
33,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127
34,Singapore,6.343,1.5290000000000001,1.4509999999999998,1.008,0.631,0.261,
35,Malaysia,6.322,1.161,1.258,0.669,0.35600000000000004,0.311,
36,Spain,6.31,1.251,1.538,0.965,0.449,0.142,
37,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,
38,Trinidad & Tobago,6.192,1.2229999999999999,1.492,0.564,0.575,0.171,0.019
39,Slovakia,6.172999999999999,1.21,1.537,0.7759999999999999,0.354,0.11800000000000001,
40,El Salvador,6.167000000000001,0.8059999999999999,1.2309999999999999,0.639,0.461,0.065,
41,Nicaragua,6.141,0.6679999999999999,1.319,0.7,0.527,0.20800000000000002,
42,Poland,6.122999999999999,1.176,1.4480000000000002,0.7809999999999999,0.546,0.10800000000000001,
43,Bahrain,6.105,1.338,1.3659999999999999,0.698,0.594,0.243,0.12300000000000001
44,Uzbekistan,6.096,0.7190000000000001,1.584,0.605,0.7240000000000001,0.32799999999999996,
45,Kuwait,6.082999999999999,1.474,1.301,0.675,0.5539999999999999,0.16699999999999998,
46,Thailand,6.072,1.016,1.4169999999999998,0.7070000000000001,0.637,0.364,
47,Italy,6.0,1.264,1.501,0.946,0.281,0.13699999999999998,
48,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12
