order_id,product_id,add_to_cart_order,reordered
1696715,34969,11,0
2077308,16641,16,0
303457,46881,6,0
514151,31766,9,0
2099209,7908,10,1
3020411,42828,9,1
1617941,29675,17,1
1612720,39108,2,0
2674777,33357,13,1
2134729,25890,1,1
3043109,4605,11,0
2469765,26209,11,0
2194378,4920,10,1
43853,45066,15,1
2824290,26131,28,1
1273625,18610,7,1
3384922,21472,13,1
3116999,10080,3,0
2404330,42460,2,1
254297,23094,18,0
1887633,39275,3,1
1806601,32747,3,1
2590082,9739,3,1
3397465,4799,5,1
3229416,4473,3,1
2902104,4086,4,0
1480925,44948,13,1
3378744,26030,10,0
2339070,48679,2,0
2119320,45123,7,1
3161017,35140,6,0
2599620,24852,3,1
3320578,46138,6,0
1841158,10070,2,1
667588,21903,12,1
1021487,42265,11,0
1189183,24184,10,1
1556767,28204,8,1
2670250,31927,8,0
2469433,7952,7,1
788431,39719,5,1
911270,35503,4,1
2447024,432,3,1
3275312,35221,6,0
2900977,2086,2,1
144656,29487,2,1
2173483,42342,5,0
749576,12720,3,1
3302097,46906,7,0
1460664,18176,5,1
241959,21616,18,1
947801,47792,38,1
3188184,43352,33,0
2230224,7175,14,0
1520053,5825,16,1
2114355,22451,21,1
832755,27695,8,1
539253,22825,4,0
2541255,21948,10,1
2822886,45404,3,0
1806089,30850,5,1
3313641,13176,1,1
1203400,16398,2,0
2103971,17671,1,0
1814842,6287,28,1
290942,21511,3,1
2184413,38978,1,1
782845,21903,8,1
926301,33120,6,1
1418976,20553,1,1
1543791,7206,17,0
2588726,44632,2,1
3399728,34668,7,1
447503,37538,5,0
2805690,1176,11,0
2128635,28026,2,1
104698,13083,6,0
279399,6287,3,1
167228,19156,7,0
1427430,42265,12,1
2370303,11249,3,1
1234798,5451,18,1
1759823,5566,3,0
1198332,890,9,1
2503752,47209,15,1
1252198,41950,6,1
1371729,37276,3,1
1147954,28997,1,1
316453,24759,20,0
2985300,18531,3,1
2666126,2086,1,0
3216995,12899,1,0
3234594,13517,3,1
454592,17948,2,1
1131390,39408,6,1
1162534,28769,1,1
279570,17016,11,1
2608360,11078,18,1
2725236,41806,3,1
1150451,4855,25,0
3068596,10761,3,1
1395096,21903,8,1
2935016,19173,1,0
3002463,16965,9,1
1995400,45066,7,1
946008,4605,9,0
1209032,49488,2,0
220512,12830,10,1
3169868,15424,3,0
2193064,30305,4,0
1037624,19048,6,1
509281,1062,13,1
2675425,22825,10,1
249977,5876,19,1
3129271,117,1,1
2504397,45007,4,1
498373,41176,18,0
823341,4656,6,0
1624510,41890,2,1
904144,14678,7,1
2011766,8518,16,1
1473544,21162,5,1
1206977,36011,16,1
636207,28785,5,1
2863517,42265,3,1
665596,13755,9,1
2131502,21292,2,1
1284061,21150,3,0
161198,38207,5,1
2704039,22935,9,1
1366863,3020,4,0
2658883,13176,1,1
1543586,17339,4,1
1441497,48677,10,0
2378656,27681,15,0
482963,3095,2,0
326363,27104,7,1
1761844,47209,8,1
2122954,46058,1,1
1390176,5479,46,0
823667,48183,2,1
3131988,14168,10,0
2126548,47867,6,1
935361,33452,1,0
861281,10331,6,1
459668,8277,3,1
2862247,38510,4,1
2112693,41662,11,0
1927544,34584,36,1
334549,6686,1,1
968509,21386,6,1
2487749,4799,8,1
3106277,49683,3,1
2335810,36354,17,0
1041664,45448,26,0
1280417,25010,4,0
1226324,554,18,0
2735622,4957,4,1
238239,13263,2,1
2626728,16083,15,1
1008792,17988,24,1
2408412,20084,18,0
688790,24811,10,1
2458797,24221,26,0
573597,8277,1,1
122149,41220,7,1
2055730,40494,4,0
3062078,35986,18,0
2698133,11140,14,0
1779028,2086,19,1
2476359,5621,17,1
492073,45066,6,0
542700,29758,3,1
2960281,46088,1,0
329821,4086,14,1
1452763,26351,11,0
2661406,4265,3,1
3013893,36869,4,1
1703389,25931,11,1
3073151,24622,1,1
274536,22281,13,0
1998395,21174,11,0
1482532,25670,8,1
269342,30639,2,1
3230727,16797,2,1
941596,41534,12,1
1179984,48746,1,0
3208126,7606,1,0
531461,13292,2,1
3295689,5373,18,0
2952611,27344,3,1
578391,22893,8,0
1484763,35951,7,1
1980926,29553,8,1
672072,29553,7,1
1795752,14947,19,1
1376291,24852,3,1
996444,37405,9,1
3154284,21847,5,0
1934041,4920,10,0
877770,24720,11,0
1457474,7493,2,1
141856,25307,3,0
2154009,17986,7,0
2119151,47626,2,1
1513367,45747,7,1
3358523,10017,2,0
2766727,47962,1,1
1101977,5539,3,0
2474929,47626,25,1
696919,43490,7,1
2365382,581,4,1
1498015,33894,10,1
244510,9838,3,1
1245797,43122,16,0
1688916,8204,7,0
3101950,40396,8,1
1884272,11782,24,1
1069547,10125,9,1
1079961,48591,9,1
2635590,1398,5,0
899707,30967,10,0
2117078,7835,1,1
517221,19354,2,1
2416532,29089,5,1
3314283,29598,33,0
1147977,43504,6,0
1900935,27966,4,1
1477658,17484,10,1
3177389,37464,11,1
2600647,38456,3,0
2181771,32650,5,1
3163636,21903,12,1
705738,5120,10,1
1643322,31513,11,1
458894,30233,2,0
1686866,36591,2,1
157119,39332,1,0
2208399,48182,5,1
3196659,24838,4,1
3223404,17021,25,0
151848,38275,2,1
2956545,28476,1,1
291957,32839,1,1
1058275,1158,10,0
3079132,34197,7,1
2633109,31506,10,0
1219323,33000,4,0
2196754,27344,3,0
2423555,47766,15,0
3307704,47209,26,0
1543351,22359,11,0
1413525,14235,6,1
3318197,24489,10,0
2840135,13176,3,1
225312,18368,13,1
1783307,39561,15,1
3349905,38093,20,0
2215784,27690,11,1
907577,25425,16,0
97625,2435,1,1
2990297,7715,15,1
1060714,890,7,0
1271059,13179,8,1
594574,16616,2,0
2142229,35199,2,1
3367214,46969,10,0
2380326,17949,11,1
3220382,31081,1,0
2014954,27541,9,1
1357177,21137,4,1
2508924,39374,8,0
1431496,10781,8,0
1414334,45364,8,1
2281576,15040,6,0
753074,4658,1,1
61355,23044,6,0
2734420,35951,12,1
524815,32689,20,1
191461,25170,4,1
3159927,6825,6,0
255720,13535,10,0
344622,19115,2,1
4219,9130,3,0
2958785,34092,4,1
469314,45679,10,0
383052,39409,8,1
1743915,8518,3,1
2561669,32665,4,0
2184100,37725,8,1
1785805,2664,26,1
2450175,20318,3,0
617913,32478,2,1
176864,6522,17,0
1339217,25544,5,0
2741068,18531,1,1
1383096,35493,2,0
1875021,22935,10,1
3054837,6184,6,1
3405907,31275,7,0
683374,18987,19,0
222468,49533,23,0
2037342,1006,7,1
2645461,13884,8,1
2540684,23165,11,0
3391706,48988,6,1
152486,39981,6,1
1735291,40516,15,0
250645,6366,13,1
1064360,3861,7,0
3319335,41637,7,1
990133,36675,12,1
3322596,21616,6,0
749245,13176,3,1
1835024,39408,5,0
2392846,40031,7,1
936390,34573,3,0
156686,24009,10,1
2887288,27966,4,0
554400,47209,1,1
1864762,47766,18,0
491939,24852,5,1
131700,5025,7,1
1217180,11068,6,1
2125241,32537,3,1
2004797,26604,1,1
568492,6104,9,1
1114093,41690,11,0
1817033,27521,3,1
1012321,24799,3,1
936276,15160,14,1
3066633,16696,29,0
2919036,41806,3,1
2585810,12033,8,1
2517704,40997,18,1
347169,33810,11,1
1886780,40706,8,1
3342560,12968,6,1
1953590,28528,16,0
529189,45064,2,1
2652626,11714,3,1
977662,41220,7,0
2924749,7998,3,0
2153888,13866,3,1
2660656,5959,11,0
2612872,45007,4,1
974834,33590,5,1
875359,7963,2,1
2416758,5710,3,0
3266828,20561,7,1
1887433,20082,18,1
353122,47766,3,1
1936505,22883,12,1
1051956,8571,2,1
59919,42265,14,0
2687700,31778,7,1
2364446,29503,9,0
38532,29487,1,1
2516460,11440,5,0
2327273,16185,9,0
372815,5184,26,1
560494,27104,16,1
2402790,4455,7,0
2811415,25146,11,1
2046480,35217,2,0
1656585,21616,3,1
2008132,35951,6,1
2558232,46654,2,1
2829157,7649,1,0
341138,19820,3,1
513502,29336,10,0
1498026,37766,10,0
2972440,29487,5,1
3076530,6046,4,1
678157,46486,5,1
2327249,41757,19,1
2344078,5194,7,0
1046969,16683,2,1
2555258,40427,7,1
3163884,40604,7,0
583218,25640,5,1
1519745,19821,22,0
2186737,48435,20,0
552514,43772,27,1
968019,33000,7,0
812094,19840,2,1
1298988,31215,2,0
253325,42265,7,1
1693860,16797,6,1
2546794,5479,12,0
2740024,20496,2,1
3417291,39275,17,0
3091160,43406,13,0
1357651,45066,8,1
3325681,33290,7,0
2235594,41198,4,1
1052556,30776,11,1
2739828,13097,13,1
2370486,28156,6,0
1942510,37053,34,1
1168631,13176,6,0
3000295,23234,10,1
65030,47626,21,1
1593606,23291,6,0
3349287,10310,6,0
1999858,24535,14,1
180313,21463,5,1
757952,20213,10,1
2525893,29987,8,0
1009520,116,1,1
3361303,47626,7,0
538874,17864,7,0
313781,43810,13,0
2185208,28985,1,0
2724949,17794,5,0
1982818,18389,4,0
1392760,30391,7,1
3163476,3896,2,1
1359110,30529,11,1
2213500,46979,15,1
2935109,28228,5,0
2981074,3896,6,1
452136,25814,9,0
2285788,5450,7,1
