order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1775244,177490,prior,9,2,22,14.0
33738,124747,prior,46,4,0,5.0
1093608,94146,prior,40,0,12,10.0
2129155,186894,prior,31,3,6,6.0
488647,147516,prior,41,4,13,8.0
879361,146012,prior,7,4,16,25.0
3355107,57016,train,57,1,17,5.0
515840,74099,prior,29,3,18,1.0
3159967,137957,prior,6,3,15,30.0
1132346,52188,prior,49,1,9,3.0
636102,84496,prior,45,4,19,5.0
2412746,141075,prior,53,1,9,7.0
1367955,153618,prior,3,0,13,6.0
2450609,87189,prior,6,2,15,11.0
2937223,151045,prior,46,4,10,3.0
2017263,149205,prior,2,4,16,8.0
79233,181768,prior,2,0,16,13.0
2383145,200254,prior,5,6,12,6.0
670742,62082,prior,9,5,14,6.0
3147223,152060,prior,2,5,20,26.0
2484210,8201,prior,6,6,8,21.0
3277668,67665,prior,1,5,17,
2000017,67658,prior,8,6,14,2.0
2339709,32402,prior,34,0,18,14.0
1399076,12873,prior,20,2,16,8.0
3369114,101017,prior,22,1,9,7.0
1951576,175941,prior,42,0,17,6.0
1702392,184965,prior,5,1,8,4.0
2782827,142534,test,11,1,11,24.0
1920071,159908,prior,14,6,3,9.0
2448401,136233,prior,50,1,15,4.0
2923893,80102,prior,5,5,12,14.0
2647845,126398,prior,23,1,16,6.0
2570335,32340,prior,18,4,16,3.0
541442,25502,prior,22,5,9,1.0
182419,37037,prior,5,0,9,13.0
279334,90510,prior,79,2,15,3.0
1577378,92946,prior,21,3,9,24.0
1210329,72499,prior,14,0,14,4.0
57125,200820,prior,9,0,12,30.0
354352,79132,test,4,1,14,3.0
3236627,92918,prior,54,2,8,4.0
166073,59548,prior,2,1,18,15.0
957736,126628,prior,13,2,20,2.0
2765993,83019,prior,10,3,22,7.0
2108666,176781,prior,9,5,15,7.0
2213335,150265,prior,22,3,13,1.0
2151484,203282,prior,8,2,12,9.0
2302158,75473,prior,13,1,9,28.0
2471522,77582,prior,4,0,11,3.0
596778,176036,train,9,6,19,6.0
3034741,89530,prior,4,2,12,7.0
2604033,143776,prior,3,4,17,30.0
3289881,163475,prior,2,3,16,6.0
2029797,3070,prior,2,0,13,14.0
2303683,113800,prior,4,3,19,30.0
2307324,117219,prior,7,2,15,1.0
