Site,Time,Depth,Lime,Age,Nitro,Oil
1,88.5,7,1,NA,3.88,1
1,88.5,NA,1,NA,4,1
1,85.2,7,1,NA,3.69,1
1,71.8,7.6,1,65,3.88,0
1,70.6,7.5,1,42,3.53,0
1,68,7,1,28,3.93,0
1,71.6,8,1,35,3.88,0
1,70.2,6,1,44,3.64,0
1,55.5,6,0,29,3.97,0
1,36.5,6.5,0,NA,3.85,0
1,36.3,6.5,0,48,3.96,0
1,46.5,6.5,0,35,3.69,0
1,35.9,6.5,0,NA,3.76,0
1,45.5,6.5,0,34,3.75,0
1,43,6.5,0,38,3.75,0
1,44.9,6.5,0,27,3.92,0
1,59.5,8,0,26,3.76,0
1,58.3,8,0,23,3.93,0
1,56.5,8,0,35,3.7,0
1,56.3,8,0,23,3.82,0
1,43,6.5,0,40,3.78,0
1,42.5,9,0,31,4,0
1,29,7.5,0,31,3.92,0
1,35.3,8.5,0,39,3.79,0
2,93.6,4,1,39,3.49,0
2,90,4,1,43,3.57,0
2,88,5.5,1,26,3.43,0
2,84.4,5,1,NA,3.55,0
2,84,4.75,1,NA,3.5,0
2,79.7,4.75,1,47,3.27,0
2,67.4,4.5,1,39,3.66,0
2,64.7,5,1,27,3.9,0
2,64.7,5.5,1,35,3.91,0
2,38.3,7,0,21,3.73,0
2,59.6,9.25,0,46,3.72,0
2,32,9,0,24,3.85,0
2,32.2,9,0,27,3.85,0
2,26.5,7,0,34,4.06,0
2,34.7,8.5,0,30,4.04,0
2,27.6,6,0,22,4,0
2,35.7,9,0,19,3.93,0
2,49.6,9,0,50,3.85,0
