ID,Mosq_count
1,4
2,10
3,13
4,0
5,11
6,11
7,7
8,7
9,7
10,6
11,7
12,5
13,6
14,9
15,13
16,9
17,7
18,6
19,6
20,18
21,10
22,7
23,7
24,11
25,6
26,4
27,11
28,5
29,9
30,6
31,14
32,8
33,8
34,8
35,4
36,6
37,2
38,5
39,9
40,8
41,15
42,6
43,7
44,9
45,7
46,7
47,6
48,6
49,8
50,8
51,4
52,8
53,6
54,6
55,10
56,12
57,16
58,7
59,16
60,6
61,10
62,15
63,8
64,6
65,8
66,13
67,4
68,12
69,12
70,9
71,8
72,6
73,6
74,10
75,14
76,7
77,3
78,5
79,8
80,7
81,7
82,7
83,3
84,7
85,10
86,10
87,9
88,6
89,7
90,4
