serRace,year,yearRace,finish,start,laps,prize,carsRace,carMake,driver
1,1975,1,1,1,191,12035,35,Matador,BobbyAllison
1,1975,1,2,2,191,8135,35,Mercury,DavidPearson
1,1975,1,3,25,184,6535,35,Chevrolet,CecilGordon
1,1975,1,4,27,183,5035,35,Dodge,DaveMarcis
1,1975,1,5,22,178,3835,35,Ford,ElmoLangley
1,1975,1,6,35,175,2885,35,Chevrolet,JamesHylton
1,1975,1,7,3,172,3185,35,Dodge,RichardPetty
1,1975,1,8,21,168,2485,35,Chevrolet,GaryMatthews
1,1975,1,9,33,167,2335,35,Dodge,EdNegre
1,1975,1,10,10,166,2185,35,Chevrolet,HershelMcGriff
1,1975,1,11,17,166,1985,35,Chevrolet,RichardChildress
1,1975,1,12,24,148,1835,35,Chevrolet,DonPuskarich
1,1975,1,13,6,145,2235,35,Dodge,RayElder
1,1975,1,14,28,142,1635,35,Chevrolet,J.D.McDuffie
1,1975,1,15,18,135,1535,35,Chevrolet,LarryEsau
1,1975,1,16,11,125,1435,35,Ford,BillOsborne
1,1975,1,17,15,125,1385,35,Chevrolet,ChuckWahl
1,1975,1,18,29,118,1335,35,Chevrolet,BillSchmitt
1,1975,1,19,16,117,1285,35,Chevrolet,RichardWhite
1,1975,1,20,32,110,1230,35,Chevrolet,DonReynolds
1,1975,1,21,26,97,1150,35,Ford,SonnyEasley
1,1975,1,22,30,96,1125,35,Chevrolet,RonEsau
1,1975,1,23,13,65,1100,35,Chevrolet,HughPearson
1,1975,1,24,4,44,1075,35,Chevrolet,BennyParsons
1,1975,1,25,12,44,1025,35,Chevrolet,GlenFrancis
1,1975,1,26,34,40,975,35,Ford,PeteTorres
1,1975,1,27,5,36,925,35,Dodge,ChuckBown
1,1975,1,28,19,35,875,35,Ford,ChuckLittle
1,1975,1,29,31,28,825,35,Ford,G.t.Tallas
1,1975,1,30,7,17,775,35,Chevrolet,DickBown
1,1975,1,31,23,15,720,35,Chevrolet,WalterBallard
1,1975,1,32,8,14,670,35,Ford,HarryJefferson
1,1975,1,33,9,13,620,35,Chevrolet,JimmyInsolo
1,1975,1,34,20,5,570,35,Ford,CarlAdams
1,1975,1,35,14,4,520,35,Dodge,IvanBaldwin
2,1975,2,1,32,200,40900,40,Chevrolet,BennyParsons
2,1975,2,2,3,199,25100,40,Matador,BobbyAllison
2,1975,2,3,6,198,17900,40,Chevrolet,CaleYarborough
2,1975,2,4,2,198,13450,40,Mercury,DavidPearson
2,1975,2,5,31,197,11350,40,Chevrolet,RamoStott
2,1975,2,6,8,197,10000,40,Dodge,DaveMarcis
2,1975,2,7,4,192,9100,40,Dodge,RichardPetty
2,1975,2,8,10,191,7850,40,Chevrolet,RichiePanch
2,1975,2,9,37,191,7150,40,Dodge,G.C.Spencer
2,1975,2,10,17,189,6450,40,Chevrolet,JamesHylton
2,1975,2,11,9,188,5250,40,Chevrolet,AJFoyt
