,geo,time,population_total
0,afg,1800,3280000
1,afg,1801,3280000
2,afg,1802,3280000
3,afg,1803,3280000
4,afg,1804,3280000
5,afg,1805,3280000
6,afg,1806,3280000
7,afg,1807,3280000
8,afg,1808,3280000
9,afg,1809,3280000
10,afg,1810,3280000
11,afg,1811,3280000
12,afg,1812,3280000
13,afg,1813,3280000
14,afg,1814,3280000
15,afg,1815,3280000
16,afg,1816,3280000
17,afg,1817,3280000
18,afg,1818,3280000
19,afg,1819,3282935
20,afg,1820,3288817
21,afg,1821,3297661
22,afg,1822,3309479
23,afg,1823,3324285
24,afg,1824,3339157
25,afg,1825,3354095
26,afg,1826,3369101
27,afg,1827,3384173
28,afg,1828,3399313
29,afg,1829,3414520
30,afg,1830,3429796
31,afg,1831,3445140
32,afg,1832,3460553
33,afg,1833,3476034
34,afg,1834,3491585
35,afg,1835,3507205
36,afg,1836,3522896
37,afg,1837,3538656
38,afg,1838,3554487
39,afg,1839,3570389
40,afg,1840,3586362
41,afg,1841,3602406
42,afg,1842,3618522
43,afg,1843,3634711
44,afg,1844,3650971
45,afg,1845,3667305
46,afg,1846,3683711
47,afg,1847,3700191
48,afg,1848,3716745
49,afg,1849,3734342
50,afg,1850,3752993
51,afg,1851,3769828
52,afg,1852,3787706
53,afg,1853,3806634
54,afg,1854,3825655
55,afg,1855,3844769
56,afg,1856,3863976
57,afg,1857,3883276
58,afg,1858,3902671
59,afg,1859,3922160
60,afg,1860,3941745
61,afg,1861,3961424
62,afg,1862,3981200
63,afg,1863,4001072
64,afg,1864,4021041
65,afg,1865,4041107
66,afg,1866,4061270
67,afg,1867,4081532
68,afg,1868,4101893
69,afg,1869,4122358
70,afg,1870,4142928
71,afg,1871,4163604
72,afg,1872,4184386
73,afg,1873,4205274
74,afg,1874,4226265
75,afg,1875,4247357
76,afg,1876,4268552
77,afg,1877,4289851
78,afg,1878,4311253
79,afg,1879,4332759
80,afg,1880,4354370
81,afg,1881,4376086
82,afg,1882,4397907
83,afg,1883,4419835
84,afg,1884,4441869
85,afg,1885,4464010
86,afg,1886,4486259
87,afg,1887,4508616
88,afg,1888,4531082
89,afg,1889,4553657
90,afg,1890,4576341
91,afg,1891,4599136
92,afg,1892,4622041
93,afg,1893,4645058
94,afg,1894,4668186
95,afg,1895,4691426
96,afg,1896,4714779
97,afg,1897,4738246
98,afg,1898,4761826
99,afg,1899,4793171
100,afg,1900,4832414
101,afg,1901,4879685
102,afg,1902,4935122
103,afg,1903,4998861
104,afg,1904,5063419
105,afg,1905,5128808
106,afg,1906,5195038
107,afg,1907,5262120
108,afg,1908,5330065
109,afg,1909,5467828
110,afg,1910,5681487
111,afg,1911,5977589
112,afg,1912,6363186
113,afg,1913,6845878
114,afg,1914,7365181
115,afg,1915,7923871
116,afg,1916,8524936
117,afg,1917,9171589
118,afg,1918,9875230
119,afg,1919,10338650
120,afg,1920,10558857
121,afg,1921,10531818
122,afg,1922,10252425
123,afg,1923,9714452
124,afg,1924,9204707
125,afg,1925,8721710
126,afg,1926,8264058
127,afg,1927,7830419
128,afg,1928,7419535
129,afg,1929,7099916
130,afg,1930,6866773
131,afg,1931,6715569
132,afg,1932,6642004
133,afg,1933,6642004
134,afg,1934,6642004
135,afg,1935,6642004
136,afg,1936,6642004
137,afg,1937,6642004
138,afg,1938,6642004
139,afg,1939,6662371
140,afg,1940,6703416
141,afg,1941,6765457
142,afg,1942,6848816
143,afg,1943,6953820
144,afg,1944,7060433
145,afg,1945,7168681
146,afg,1946,7278589
147,afg,1947,7390182
148,afg,1948,7503485
149,afg,1949,7624058
150,afg,1950,7752117
151,afg,1951,7840151
152,afg,1952,7935996
153,afg,1953,8039684
154,afg,1954,8151316
155,afg,1955,8270992
156,afg,1956,8398873
157,afg,1957,8535157
158,afg,1958,8680097
159,afg,1959,8833947
160,afg,1960,8996967
161,afg,1961,9169406
162,afg,1962,9351442
163,afg,1963,9543200
164,afg,1964,9744772
165,afg,1965,9956318
166,afg,1966,10174840
167,afg,1967,10399936
168,afg,1968,10637064
169,afg,1969,10893772
170,afg,1970,11173654
171,afg,1971,11475450
172,afg,1972,11791222
173,afg,1973,12108963
174,afg,1974,12412960
175,afg,1975,12689164
176,afg,1976,12943093
177,afg,1977,13171294
178,afg,1978,13341199
179,afg,1979,13411060
180,afg,1980,13356500
181,afg,1981,13171679
182,afg,1982,12882518
183,afg,1983,12537732
184,afg,1984,12204306
185,afg,1985,11938204
186,afg,1986,11736177
187,afg,1987,11604538
188,afg,1988,11618008
189,afg,1989,11868873
190,afg,1990,12412311
191,afg,1991,13299016
192,afg,1992,14485543
193,afg,1993,15816601
194,afg,1994,17075728
195,afg,1995,18110662
196,afg,1996,18853444
197,afg,1997,19357126
198,afg,1998,19737770
199,afg,1999,20170847
200,afg,2000,20779957
201,afg,2001,21606992
202,afg,2002,22600774
203,afg,2003,23680871
204,afg,2004,24726689
205,afg,2005,25654274
206,afg,2006,26433058
207,afg,2007,27100542
208,afg,2008,27722281
209,afg,2009,28394806
210,afg,2010,29185511
211,afg,2011,30117411
212,afg,2012,31161378
213,afg,2013,32269592
214,afg,2014,33370804
215,afg,2015,34413603
216,afg,2016,35383028
217,afg,2017,36296111
218,afg,2018,37171922
219,afg,2019,38041757
220,afg,2020,38928341
221,afg,2021,39835428
222,afg,2022,40754385
223,afg,2023,41681232
224,afg,2024,42608714
225,afg,2025,43531523
226,afg,2026,44449106
227,afg,2027,45363560
228,afg,2028,46275305
229,afg,2029,47185165
230,afg,2030,48093576
231,afg,2031,49000190
232,afg,2032,49904008
233,afg,2033,50803985
234,afg,2034,51698839
235,afg,2035,52587415
236,afg,2036,53468940
237,afg,2037,54342917
238,afg,2038,55208543
239,afg,2039,56065157
240,afg,2040,56912008
241,afg,2041,57748480
242,afg,2042,58573847
243,afg,2043,59387210
244,afg,2044,60187566
245,afg,2045,60974108
246,afg,2046,61746119
247,afg,2047,62503158
248,afg,2048,63245020
249,afg,2049,63971682
250,afg,2050,64682976
251,afg,2051,65378498
252,afg,2052,66057693
253,afg,2053,66720061
254,afg,2054,67365070
255,afg,2055,67992198
256,afg,2056,68601077
257,afg,2057,69191273
258,afg,2058,69762278
259,afg,2059,70313576
260,afg,2060,70844694
261,afg,2061,71355260
262,afg,2062,71844941
263,afg,2063,72313405
264,afg,2064,72760294
265,afg,2065,73185287
266,afg,2066,73588196
267,afg,2067,73968838
268,afg,2068,74327012
269,afg,2069,74662577
270,afg,2070,74975404
271,afg,2071,75265446
272,afg,2072,75532727
273,afg,2073,75777323
274,afg,2074,75999471
275,afg,2075,76199343
276,afg,2076,76377114
277,afg,2077,76532930
278,afg,2078,76666941
279,afg,2079,76779299
280,afg,2080,76870229
281,afg,2081,76940011
282,afg,2082,76989050
283,afg,2083,77017762
284,afg,2084,77026666
285,afg,2085,77016262
286,afg,2086,76987010
287,afg,2087,76939414
288,afg,2088,76874094
289,afg,2089,76791721
290,afg,2090,76692976
291,afg,2091,76578449
292,afg,2092,76448745
293,afg,2093,76304426
294,afg,2094,76146060
295,afg,2095,75974263
296,afg,2096,75789679
297,afg,2097,75593012
298,afg,2098,75384972
299,afg,2099,75166360
300,afg,2100,74937961
301,ago,1800,1567028
302,ago,1801,1567028
303,ago,1802,1567028
304,ago,1803,1567028
305,ago,1804,1567028
306,ago,1805,1567028
307,ago,1806,1567028
308,ago,1807,1567028
309,ago,1808,1567028
310,ago,1809,1567028
311,ago,1810,1567028
312,ago,1811,1567028
313,ago,1812,1567028
314,ago,1813,1567028
315,ago,1814,1567028
316,ago,1815,1567028
317,ago,1816,1567028
318,ago,1817,1567028
319,ago,1818,1567028
320,ago,1819,1571640
321,ago,1820,1580933
322,ago,1821,1594974
323,ago,1822,1613834
324,ago,1823,1637584
325,ago,1824,1661683
326,ago,1825,1686138
327,ago,1826,1710952
328,ago,1827,1736131
329,ago,1828,1761680
330,ago,1829,1787606
331,ago,1830,1813913
332,ago,1831,1840608
333,ago,1832,1867695
334,ago,1833,1895181
335,ago,1834,1923071
336,ago,1835,1951372
337,ago,1836,1980089
338,ago,1837,2009229
339,ago,1838,2038798
340,ago,1839,2068802
341,ago,1840,2099247
342,ago,1841,2130141
343,ago,1842,2161489
344,ago,1843,2193299
345,ago,1844,2225576
346,ago,1845,2258329
347,ago,1846,2291563
348,ago,1847,2325287
349,ago,1848,2359507
350,ago,1849,2390443
351,ago,1850,2418020
352,ago,1851,2445639
353,ago,1852,2469804
354,ago,1853,2490423
355,ago,1854,2511209
356,ago,1855,2532163
357,ago,1856,2553287
358,ago,1857,2574582
359,ago,1858,2596050
360,ago,1859,2617734
361,ago,1860,2639636
362,ago,1861,2661759
363,ago,1862,2684105
364,ago,1863,2706676
365,ago,1864,2729431
366,ago,1865,2752372
367,ago,1866,2775501
368,ago,1867,2798819
369,ago,1868,2822327
370,ago,1869,2844907
371,ago,1870,2866541
372,ago,1871,2887214
373,ago,1872,2906908
374,ago,1873,2925605
375,ago,1874,2944418
376,ago,1875,2963345
377,ago,1876,2982389
378,ago,1877,3001550
379,ago,1878,3020828
380,ago,1879,3040210
381,ago,1880,3059698
382,ago,1881,3079292
383,ago,1882,3098992
384,ago,1883,3118798
385,ago,1884,3138726
386,ago,1885,3158775
387,ago,1886,3178946
388,ago,1887,3199240
389,ago,1888,3219658
390,ago,1889,3233687
391,ago,1890,3241303
392,ago,1891,3242479
393,ago,1892,3237188
394,ago,1893,3225405
395,ago,1894,3213659
396,ago,1895,3201949
397,ago,1896,3190277
398,ago,1897,3178642
399,ago,1898,3167043
400,ago,1899,3153583
401,ago,1900,3138277
402,ago,1901,3121144
403,ago,1902,3102199
404,ago,1903,3081459
405,ago,1904,3060853
406,ago,1905,3040379
407,ago,1906,3020037
408,ago,1907,2999825
409,ago,1908,2979744
410,ago,1909,2962141
411,ago,1910,2946996
412,ago,1911,2934290
413,ago,1912,2924003
414,ago,1913,2916116
415,ago,1914,2908245
416,ago,1915,2900390
417,ago,1916,2892552
418,ago,1917,2884730
419,ago,1918,2873191
420,ago,1919,2872529
421,ago,1920,2882863
422,ago,1921,2904314
423,ago,1922,2937004
424,ago,1923,2981059
425,ago,1924,3025775
426,ago,1925,3071162
427,ago,1926,3117230
428,ago,1927,3163988
429,ago,1928,3211448
430,ago,1929,3258958
431,ago,1930,3306510
432,ago,1931,3354095
433,ago,1932,3401704
434,ago,1933,3449328
